2021-12-10 16:39:29,360 DEBUG    decorators decorators.py The send_data function was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57434), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639139969.3580844, 'user': {'account_name': 'Guest'}}), {}. Call from module common.utils.Call from function start_client().Call from function start_client
2021-12-10 16:39:29,789 DEBUG    decorators decorators.py The arg_parser function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:39:29,789 INFO     client client.py Launched client with parameters: address: 127.0.0.1 , port: 7777
2021-12-10 16:39:29,792 DEBUG    client client.py Generated presence a message for the user Guest
2021-12-10 16:39:29,793 DEBUG    decorators decorators.py The create_presence_users function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:39:29,795 DEBUG    decorators decorators.py The send_data function was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57436), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639139969.7925544, 'user': {'account_name': 'Guest'}}), {}. Call from module common.utils.Call from function start_client().Call from function start_client
2021-12-10 16:39:30,065 DEBUG    decorators decorators.py The arg_parser function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:39:30,065 INFO     client client.py Launched client with parameters: address: 127.0.0.1 , port: 7777
2021-12-10 16:39:30,066 DEBUG    client client.py Generated presence a message for the user Guest
2021-12-10 16:39:30,067 DEBUG    decorators decorators.py The create_presence_users function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:39:30,071 DEBUG    decorators decorators.py The send_data function was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57438), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639139970.0661418, 'user': {'account_name': 'Guest'}}), {}. Call from module common.utils.Call from function start_client().Call from function start_client
2021-12-10 16:39:30,192 DEBUG    decorators decorators.py The arg_parser function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:39:30,193 INFO     client client.py Launched client with parameters: address: 127.0.0.1 , port: 7777
2021-12-10 16:39:30,193 DEBUG    client client.py Generated presence a message for the user Guest
2021-12-10 16:39:30,194 DEBUG    decorators decorators.py The create_presence_users function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:39:30,196 DEBUG    decorators decorators.py The send_data function was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57440), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639139970.193184, 'user': {'account_name': 'Guest'}}), {}. Call from module common.utils.Call from function start_client().Call from function start_client
2021-12-10 16:41:59,288 DEBUG    decorators decorators.py The arg_parser function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:41:59,288 INFO     client client.py Launched client with parameters: address: 127.0.0.1 , port: 7777
2021-12-10 16:41:59,288 DEBUG    client client.py Generated presence a message for the user Guest
2021-12-10 16:41:59,289 DEBUG    decorators decorators.py The create_presence_users function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:41:59,289 DEBUG    decorators decorators.py The send_data function was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57454), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639140119.288376, 'user': {'account_name': 'Guest'}}), {}. Call from module common.utils.Call from function start_client().Call from function start_client
2021-12-10 16:46:13,901 DEBUG    decorators decorators.py The arg_parser function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:46:13,902 INFO     sending_client sending_client.py Launched client with parameters: address: 127.0.0.1 , port: 7777
2021-12-10 16:46:13,902 DEBUG    sending_client sending_client.py Generated presence a message for the user Guest
2021-12-10 16:46:13,903 DEBUG    decorators decorators.py The create_presence_users function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:46:13,904 DEBUG    decorators decorators.py The send_data function was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57484), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639140373.902266, 'user': {'account_name': 'Guest'}}), {}. Call from module common.utils.Call from function start_client().Call from function start_client
2021-12-10 16:55:26,265 DEBUG    decorators decorators.py The arg_parser function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:55:26,265 INFO     client client.py Launched client with parameters: address: 127.0.0.1 , port: 7777
2021-12-10 16:55:26,265 DEBUG    client client.py Generated presence a message for the user Guest
2021-12-10 16:55:26,279 DEBUG    decorators decorators.py The create_presence_users function was called with parameters (), {}. Call from module __main__.Call from function start_client().Call from function start_client
2021-12-10 16:55:26,280 DEBUG    decorators decorators.py The send_data function was called with parameters (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 57538), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1639140926.2658129, 'user': {'account_name': 'Guest'}}), {}. Call from module common.utils.Call from function start_client().Call from function start_client
2021-12-10 17:07:59,299 ERROR    sending_client sending_client.py Failed to decode json.
